"group","mt_matchLen","sampleID"
"WGS_211_E20_F02.9","(450,500]",2,"WGS_211_E20_F02"
"WGS_211_E20_F02.10","(1150,1200]",1,"WGS_211_E20_F02"
"WGS_220_E20_F07.1","(0,50]",6,"WGS_220_E20_F07"
"WGS_220_E20_F07.2","(50,100]",2,"WGS_220_E20_F07"
"WGS_220_E20_F07.3","(100,150]",6,"WGS_220_E20_F07"
"WGS_220_E20_F07.4","(150,200]",1,"WGS_220_E20_F07"
"WGS_220_E20_F07.5","(200,250]",3,"WGS_220_E20_F07"
"WGS_220_E20_F07.6","(250,300]",3,"WGS_220_E20_F07"
"WGS_230_E20_F06.1","(0,50]",11,"WGS_230_E20_F06"
"WGS_230_E20_F06.2","(50,100]",6,"WGS_230_E20_F06"
"WGS_230_E20_F06.3","(100,150]",2,"WGS_230_E20_F06"
"WGS_230_E20_F06.4","(150,200]",5,"WGS_230_E20_F06"
"WGS_230_E20_F06.5","(250,300]",1,"WGS_230_E20_F06"
"WGS_230_E20_F06.6","(300,350]",1,"WGS_230_E20_F06"
"WGS_230_E20_F06.7","(600,650]",1,"WGS_230_E20_F06"
"WGS_240_E20_F05.1","(0,50]",5,"WGS_240_E20_F05"
"WGS_240_E20_F05.2","(50,100]",5,"WGS_240_E20_F05"
"WGS_240_E20_F05.3","(100,150]",1,"WGS_240_E20_F05"
"WGS_240_E20_F05.4","(150,200]",3,"WGS_240_E20_F05"
"WGS_240_E20_F05.5","(200,250]",1,"WGS_240_E20_F05"
"WGS_240_E20_F05.6","(500,550]",1,"WGS_240_E20_F05"
"WGS_240_E20_F05.7","(650,700]",1,"WGS_240_E20_F05"
"WGS_246_E20_F05.1","(50,100]",1,"WGS_246_E20_F05"
"WGS_246_E20_F05.2","(100,150]",1,"WGS_246_E20_F05"
"WGS_246_E20_F05.3","(200,250]",1,"WGS_246_E20_F05"
"WGS_246_E20_F05.4","(400,450]",1,"WGS_246_E20_F05"
"WGS_246_E20_F07.1","(0,50]",9,"WGS_246_E20_F07"
"WGS_246_E20_F07.2","(50,100]",2,"WGS_246_E20_F07"
"WGS_246_E20_F07.3","(100,150]",5,"WGS_246_E20_F07"
"WGS_246_E20_F07.4","(150,200]",5,"WGS_246_E20_F07"
"WGS_246_E20_F07.5","(200,250]",4,"WGS_246_E20_F07"
"WGS_246_E20_F07.6","(300,350]",1,"WGS_246_E20_F07"
"WGS_246_E20_F07.7","(350,400]",1,"WGS_246_E20_F07"
"WGS_246_E20_F07.8","(500,550]",2,"WGS_246_E20_F07"
"WGS_249_E20_F02.1","(0,50]",8,"WGS_249_E20_F02"
"WGS_249_E20_F02.2","(50,100]",2,"WGS_249_E20_F02"
"WGS_249_E20_F02.3","(100,150]",2,"WGS_249_E20_F02"
"WGS_249_E20_F02.4","(150,200]",6,"WGS_249_E20_F02"
"WGS_249_E20_F02.5","(200,250]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.6","(250,300]",4,"WGS_249_E20_F02"
"WGS_249_E20_F02.7","(300,350]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.8","(400,450]",3,"WGS_249_E20_F02"
"WGS_249_E20_F02.9","(450,500]",3,"WGS_249_E20_F02"
"WGS_249_E20_F02.10","(500,550]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.11","(550,600]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.12","(600,650]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.13","(750,800]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.14","(800,850]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.15","(900,950]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.16","(1150,1200]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.17","(1400,1450]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.18","(1600,1650]",1,"WGS_249_E20_F02"
"WGS_249_E20_F02.19","(1700,1750]",1,"WGS_249_E20_F02"
